datetime,region,power,temp,hour,weekday,month,season,is_weekend
1/1/24 1:00,강원도,2979.268069,1,1,0,1,winter,0
1/1/24 2:00,강원도,2719.378647,0.9,2,0,1,winter,0
1/1/24 3:00,강원도,2623.847087,0.9,3,0,1,winter,0
1/1/24 4:00,강원도,2485.809427,0.7,4,0,1,winter,0
1/1/24 5:00,강원도,2461.844364,0.8,5,0,1,winter,0
1/1/24 6:00,강원도,2463.543755,0.6,6,0,1,winter,0
1/1/24 7:00,강원도,2835.632143,0.2,7,0,1,winter,0
1/1/24 8:00,강원도,2952.491118,0,8,0,1,winter,0
1/1/24 9:00,강원도,2950.819322,0.6,9,0,1,winter,0
1/1/24 10:00,강원도,2870.106892,1.7,10,0,1,winter,0
1/1/24 11:00,강원도,2690.357074,2.7,11,0,1,winter,0
1/1/24 12:00,강원도,2534.337583,4.3,12,0,1,winter,0
1/1/24 13:00,강원도,2579.172231,5.5,13,0,1,winter,0
1/1/24 14:00,강원도,2643.541295,5.9,14,0,1,winter,0
1/1/24 15:00,강원도,2581.738602,6.1,15,0,1,winter,0
1/1/24 16:00,강원도,2786.59549,5.5,16,0,1,winter,0
1/1/24 17:00,강원도,2945.607096,4.7,17,0,1,winter,0
1/1/24 18:00,강원도,3292.134179,3.8,18,0,1,winter,0
1/1/24 19:00,강원도,3330.758261,3.2,19,0,1,winter,0
1/1/24 20:00,강원도,3407.082743,2.6,20,0,1,winter,0
1/1/24 21:00,강원도,3317.760144,2.3,21,0,1,winter,0
1/1/24 22:00,강원도,3209.358455,2.3,22,0,1,winter,0
1/1/24 23:00,강원도,3322.846127,2.2,23,0,1,winter,0
1/2/24 0:00,강원도,3452.166883,2.1,0,1,1,winter,0
1/1/24 1:00,서울시,463.588553,0.5,1,0,1,winter,0
1/1/24 2:00,서울시,463.909342,0.4,2,0,1,winter,0
1/1/24 3:00,서울시,463.847167,-0.1,3,0,1,winter,0
1/1/24 4:00,서울시,463.74691,-0.2,4,0,1,winter,0
1/1/24 5:00,서울시,463.947576,0.3,5,0,1,winter,0
1/1/24 6:00,서울시,464.95511,0.5,6,0,1,winter,0
1/1/24 7:00,서울시,465.304198,0.4,7,0,1,winter,0
