datetime,region,power,temp,hour,weekday,month,season,is_weekend,temp_source,temp_clim,is_holiday,is_holiday_eve,is_kpx_peak_hour,is_dr_window_proxy,is_extreme_heat,is_extreme_cold,is_heatwave_day,is_coldwave_day,seoul_district_cv
1/1/20 0:00,강원도,3782.1717022038097,-7.4,0,2,1,winter,0,open_meteo,-7.4,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 10:00,강원도,3798.1724286012873,-3.7,10,2,1,winter,0,open_meteo,-3.7,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 11:00,강원도,3808.172882599711,-2.2,11,2,1,winter,0,open_meteo,-2.2,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 12:00,강원도,3715.168660414371,-0.2,12,2,1,winter,0,open_meteo,-0.2,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 13:00,강원도,3787.1719292030216,1.0,13,2,1,winter,0,open_meteo,1.0,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 14:00,강원도,3787.1719292030216,1.5,14,2,1,winter,0,open_meteo,1.5,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 15:00,강원도,3779.1715660042823,1.5,15,2,1,winter,0,open_meteo,1.5,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 16:00,강원도,3724.1690690129526,0.8,16,2,1,winter,0,open_meteo,0.8,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 17:00,강원도,3738.1697046107456,-1.0,17,2,1,winter,0,open_meteo,-1.0,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 18:00,강원도,3759.170658007435,-2.9,18,2,1,winter,0,open_meteo,-2.9,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 19:00,강원도,3712.168524214844,-3.5,19,2,1,winter,0,open_meteo,-3.5,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 1:00,강원도,3704.1681610161054,-6.3,1,2,1,winter,0,open_meteo,-6.3,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 20:00,강원도,3635.165028426982,-3.6,20,2,1,winter,0,open_meteo,-3.6,1,0,0,0,0,0,0,0,0.4521713557475491
1/1/20 21:00,강원도,3614.164075030293,-3.6,21,2,1,winter,0,open_meteo,-3.6,1,0,0,0,0,0,0,0,0.4521713557475491
