일자,시간,권역,전력거래량
2023-01-01,01:00:00,동부,297.92680690000003
2023-01-01,02:00:00,동부,271.9378647
2023-01-01,03:00:00,동부,262.38470870000003
2023-01-01,04:00:00,동부,248.5809427
2023-01-01,05:00:00,동부,246.1844364
2023-01-01,06:00:00,동부,246.3543755
2023-01-01,07:00:00,동부,283.56321429999997
2023-01-01,08:00:00,동부,295.2491118
2023-01-01,09:00:00,동부,295.0819322
2023-01-01,10:00:00,동부,287.0106892
2023-01-01,11:00:00,동부,269.0357074
2023-01-01,12:00:00,동부,253.4337583
2023-01-01,13:00:00,동부,257.9172231
2023-01-01,14:00:00,동부,264.3541295
2023-01-01,15:00:00,동부,258.1738602
2023-01-01,16:00:00,동부,278.659549
2023-01-01,17:00:00,동부,294.5607096
2023-01-01,18:00:00,동부,329.2134179
2023-01-01,19:00:00,동부,333.0758261
2023-01-01,20:00:00,동부,340.70827429999997
2023-01-01,21:00:00,동부,331.7760144
2023-01-01,22:00:00,동부,320.9358455
2023-01-01,23:00:00,동부,332.28461269999997
2023-01-02,00:00:00,동부,345.2166883
2023-01-01,01:00:00,수도권,46.3588553
2023-01-01,02:00:00,수도권,46.3909342
2023-01-01,03:00:00,수도권,46.3847167
2023-01-01,04:00:00,수도권,46.374691
2023-01-01,05:00:00,수도권,46.394757600000005
2023-01-01,06:00:00,수도권,46.495511
2023-01-01,07:00:00,수도권,46.5304198
2023-01-01,08:00:00,수도권,46.508062
2023-01-01,09:00:00,수도권,46.689852200000004
2023-01-01,10:00:00,수도권,46.956211100000004
2023-01-01,11:00:00,수도권,46.8827604
2023-01-01,12:00:00,수도권,46.9768459
2023-01-01,13:00:00,수도권,46.6119106
2023-01-01,14:00:00,수도권,46.3826959
2023-01-01,15:00:00,수도권,45.9378811
2023-01-01,16:00:00,수도권,45.7676206
2023-01-01,17:00:00,수도권,45.7419004
2023-01-01,18:00:00,수도권,45.893909
2023-01-01,19:00:00,수도권,45.8697161
2023-01-01,20:00:00,수도권,46.0262843
2023-01-01,21:00:00,수도권,46.0929891
2023-01-01,22:00:00,수도권,46.1435953
2023-01-01,23:00:00,수도권,46.1160777
2023-01-02,00:00:00,수도권,46.1875771
2023-01-01,01:00:00,중부,4.27243
2023-01-01,02:00:00,중부,4.1831812
2023-01-01,03:00:00,중부,4.1699432000000005
2023-01-01,04:00:00,중부,4.2519116
2023-01-01,05:00:00,중부,4.2027754
2023-01-01,06:00:00,중부,4.213841
2023-01-01,07:00:00,중부,3.9248516
2023-01-01,08:00:00,중부,3.8736987
2023-01-01,09:00:00,중부,3.917974
2023-01-01,10:00:00,중부,3.9801564
2023-01-01,11:00:00,중부,4.063840600000001
2023-01-01,12:00:00,중부,4.4161128
2023-01-01,13:00:00,중부,4.344606199999999
2023-01-01,14:00:00,중부,4.2662511
2023-01-01,15:00:00,중부,3.7758238
2023-01-01,16:00:00,중부,3.5821031
2023-01-01,17:00:00,중부,3.8496754
2023-01-01,18:00:00,중부,3.7606531
