행정구역,2025년10월_총인구수,
서울특별시  (1100000000),"9,313,532",
서울특별시 종로구 (1111000000),"137,449",
서울특별시 중구 (1114000000),"118,331",
서울특별시 용산구 (1117000000),"202,507",
서울특별시 성동구 (1120000000),"274,424",
서울특별시 광진구 (1121500000),"331,786",
서울특별시 동대문구 (1123000000),"344,357",
서울특별시 중랑구 (1126000000),"377,054",
서울특별시 성북구 (1129000000),"423,705",
서울특별시 강북구 (1130500000),"279,632",
서울특별시 도봉구 (1132000000),"300,627",
서울특별시 노원구 (1135000000),"485,290",
서울특별시 은평구 (1138000000),"456,727",
서울특별시 서대문구 (1141000000),"300,843",
서울특별시 마포구 (1144000000),"358,523",
서울특별시 양천구 (1147000000),"426,242",
서울특별시 강서구 (1150000000),"550,248",
서울특별시 구로구 (1153000000),"384,991",
서울특별시 금천구 (1154500000),"223,588",
서울특별시 영등포구 (1156000000),"371,876",
서울특별시 동작구 (1159000000),"373,084",
서울특별시 관악구 (1162000000),"478,282",
서울특별시 서초구 (1165000000),"413,236",
서울특별시 강남구 (1168000000),"556,462",
서울특별시 송파구 (1171000000),"645,052",
서울특별시 강동구 (1174000000),"499,216",
