district,annual_usage,population,usage_per_capita,district_type
강남구,4646069.805,556462.0,8.349302926345374,상업·업무구
강동구,1628628.9640000002,499216.0,3.262373329380469,주거구
강북구,842351.296,279632.0,3.012356582937575,주거구
강서구,2560958.442,550248.0,4.6541894600252975,주거구
관악구,1704965.195,478282.0,3.564769727901113,주거구
광진구,1337427.108,331786.0,4.030993194408444,주거구
구로구,1829861.351,384991.0,4.752997735011987,주거구
금천구,1657232.863,223588.0,7.411993769790865,주거구
노원구,1399279.239,485290.0,2.88338774547178,주거구
도봉구,881381.406,300627.0,2.931810535979802,주거구
동대문구,1329359.842,344357.0,3.8604118458460257,주거구
동작구,1243508.274,373084.0,3.3330517363381973,주거구
마포구,2309437.761,358523.0,6.441533070402736,상업·업무구
서대문구,1291945.823,300843.0,4.2944187599512045,주거구
서초구,3031175.894,413236.0,7.335217391514775,상업·업무구
성동구,1900641.099,274424.0,6.925928850975133,주거구
성북구,1468734.521,423705.0,3.466408281705432,주거구
송파구,2915513.3259349996,645052.0,4.519811311235372,상업·업무구
양천구,1675160.07,426242.0,3.9300680599283977,주거구
영등포구,2632264.124,371876.0,7.078338274048338,상업·업무구
용산구,1499149.461,202507.0,7.402951310325075,상업·업무구
은평구,1482283.916,456727.0,3.2454484101005634,주거구
종로구,1667139.35,137449.0,12.129148629673553,상업·업무구
중구,2238494.413,118331.0,18.917227210114003,상업·업무구
중랑구,1115875.404,377054.0,2.959457807104553,주거구
