거래일자,시간,지역,전력거래량(MWh)
2008-01-01,01,강원도,1168.119867
2008-01-01,02,강원도,832.217102
2008-01-01,03,강원도,696.713957
2008-01-01,04,강원도,588.625507
2008-01-01,05,강원도,545.340692
2008-01-01,06,강원도,502.529335
2008-01-01,07,강원도,497.569851
2008-01-01,08,강원도,481.243013
2008-01-01,09,강원도,475.682086
2008-01-01,10,강원도,463.744452
2008-01-01,11,강원도,465.613307
2008-01-01,12,강원도,635.129475
2008-01-01,13,강원도,467.325219
2008-01-01,14,강원도,466.122462
2008-01-01,15,강원도,471.695612
2008-01-01,16,강원도,469.184877
2008-01-01,17,강원도,469.397214
2008-01-01,18,강원도,473.043953
2008-01-01,19,강원도,463.384047
2008-01-01,20,강원도,462.81466
2008-01-01,21,강원도,594.085296
2008-01-01,22,강원도,632.37596
2008-01-01,23,강원도,645.942796
2008-01-01,24,강원도,877.054146
2008-01-01,01,경기도,2196.248518
2008-01-01,02,경기도,1878.320135
2008-01-01,03,경기도,1963.08075
2008-01-01,04,경기도,1823.821932
2008-01-01,05,경기도,1620.491016
2008-01-01,06,경기도,1547.314006
2008-01-01,07,경기도,1568.687
2008-01-01,08,경기도,1573.154657
2008-01-01,09,경기도,1659.981158
2008-01-01,10,경기도,1687.575697
2008-01-01,11,경기도,1694.978978
2008-01-01,12,경기도,1691.394408
2008-01-01,13,경기도,1687.151293
2008-01-01,14,경기도,1687.35038
2008-01-01,15,경기도,1687.751814
2008-01-01,16,경기도,1686.116685
2008-01-01,17,경기도,1680.226298
2008-01-01,18,경기도,1798.235942
2008-01-01,19,경기도,1850.625975
2008-01-01,20,경기도,1915.168499
2008-01-01,21,경기도,1862.003568
2008-01-01,22,경기도,1938.378379
2008-01-01,23,경기도,1994.474231
2008-01-01,24,경기도,2090.994371
2008-01-01,01,경상남도,6812.10071
2008-01-01,02,경상남도,6061.038754
2008-01-01,03,경상남도,5922.385423
2008-01-01,04,경상남도,5933.766327
2008-01-01,05,경상남도,5929.228668
2008-01-01,06,경상남도,5933.668767
2008-01-01,07,경상남도,5944.431081
2008-01-01,08,경상남도,5847.963346
2008-01-01,09,경상남도,5661.397252
2008-01-01,10,경상남도,5578.456449
2008-01-01,11,경상남도,5927.061098
2008-01-01,12,경상남도,5906.053617
2008-01-01,13,경상남도,5890.214814
2008-01-01,14,경상남도,5899.070339
2008-01-01,15,경상남도,5875.769542
2008-01-01,16,경상남도,5919.479787
2008-01-01,17,경상남도,5908.160749
2008-01-01,18,경상남도,5873.948263
2008-01-01,19,경상남도,5911.179409
2008-01-01,20,경상남도,5778.100053
2008-01-01,21,경상남도,5683.3045
2008-01-01,22,경상남도,5754.534737
2008-01-01,23,경상남도,6024.988097
2008-01-01,24,경상남도,5977.976184
2008-01-01,01,경상북도,8283.451982
2008-01-01,02,경상북도,8359.541905
2008-01-01,03,경상북도,8113.989302
2008-01-01,04,경상북도,8122.585512
2008-01-01,05,경상북도,8123.537219
2008-01-01,06,경상북도,8122.645595
2008-01-01,07,경상북도,8124.12732
2008-01-01,08,경상북도,8123.770929
2008-01-01,09,경상북도,8127.297015
2008-01-01,10,경상북도,8129.161967
2008-01-01,11,경상북도,8131.996056
2008-01-01,12,경상북도,8135.20268
2008-01-01,13,경상북도,8135.973798
2008-01-01,14,경상북도,8135.120134
2008-01-01,15,경상북도,8133.13376
2008-01-01,16,경상북도,8123.421113
2008-01-01,17,경상북도,8120.508584
2008-01-01,18,경상북도,8111.323901
2008-01-01,19,경상북도,8121.619426
2008-01-01,20,경상북도,8127.867209
2008-01-01,21,경상북도,8128.392761
2008-01-01,22,경상북도,8162.781347
2008-01-01,23,경상북도,8163.774708
