거래일자,시간,지역,전력거래량(MWh)
2007-01-01,01,강원도,1260.05753
2007-01-01,02,강원도,1268.241647
2007-01-01,03,강원도,1224.143728
2007-01-01,04,강원도,937.231867
2007-01-01,05,강원도,776.367836
2007-01-01,06,강원도,576.190322
2007-01-01,07,강원도,403.037866
2007-01-01,08,강원도,318.374204
2007-01-01,09,강원도,300.53596
2007-01-01,10,강원도,318.154098
2007-01-01,11,강원도,282.953438
2007-01-01,12,강원도,281.762408
2007-01-01,13,강원도,273.685306
2007-01-01,14,강원도,211.383796
2007-01-01,15,강원도,158.228378
2007-01-01,16,강원도,160.012296
2007-01-01,17,강원도,158.294068
2007-01-01,18,강원도,157.212953
2007-01-01,19,강원도,354.545315
2007-01-01,20,강원도,415.798231
2007-01-01,21,강원도,433.859507
2007-01-01,22,강원도,491.361792
2007-01-01,23,강원도,723.29887
2007-01-01,24,강원도,753.168004
2007-01-01,01,경기도,2293.120536
2007-01-01,02,경기도,2272.386361
2007-01-01,03,경기도,2227.834133
2007-01-01,04,경기도,2196.959776
2007-01-01,05,경기도,2130.484523
2007-01-01,06,경기도,2144.025256
2007-01-01,07,경기도,1992.278722
2007-01-01,08,경기도,1505.571868
2007-01-01,09,경기도,1203.21264
2007-01-01,10,경기도,1188.855561
2007-01-01,11,경기도,1180.138323
2007-01-01,12,경기도,1161.886114
2007-01-01,13,경기도,1163.73851
2007-01-01,14,경기도,1161.047121
2007-01-01,15,경기도,1158.210188
2007-01-01,16,경기도,1153.743502
2007-01-01,17,경기도,1153.954407
2007-01-01,18,경기도,1228.652808
2007-01-01,19,경기도,1524.642164
2007-01-01,20,경기도,1573.5339
2007-01-01,21,경기도,1705.673202
2007-01-01,22,경기도,1728.453337
2007-01-01,23,경기도,2117.646623
2007-01-01,24,경기도,2163.996987
2007-01-01,01,경상남도,7218.24428
2007-01-01,02,경상남도,6956.391077
2007-01-01,03,경상남도,6385.079922
2007-01-01,04,경상남도,6104.167285
2007-01-01,05,경상남도,5923.190105
2007-01-01,06,경상남도,5912.65863
2007-01-01,07,경상남도,5830.217602
2007-01-01,08,경상남도,5765.517029
2007-01-01,09,경상남도,5492.265335
2007-01-01,10,경상남도,5346.517056
2007-01-01,11,경상남도,5370.359169
2007-01-01,12,경상남도,5286.779002
2007-01-01,13,경상남도,5465.544758
2007-01-01,14,경상남도,5450.461501
2007-01-01,15,경상남도,5409.018019
2007-01-01,16,경상남도,5271.299055
2007-01-01,17,경상남도,5415.70036
2007-01-01,18,경상남도,5784.744088
2007-01-01,19,경상남도,5780.347177
2007-01-01,20,경상남도,5861.149423
2007-01-01,21,경상남도,5879.445394
2007-01-01,22,경상남도,5862.502307
2007-01-01,23,경상남도,6508.0129
2007-01-01,24,경상남도,6452.58763
2007-01-01,01,경상북도,9065.252547
2007-01-01,02,경상북도,9056.342167
2007-01-01,03,경상북도,8979.104072
2007-01-01,04,경상북도,8896.488436
2007-01-01,05,경상북도,8842.148751
2007-01-01,06,경상북도,8683.250201
2007-01-01,07,경상북도,8684.714782
2007-01-01,08,경상북도,8683.781768
2007-01-01,09,경상북도,8685.250306
2007-01-01,10,경상북도,8688.183746
2007-01-01,11,경상북도,8687.180779
2007-01-01,12,경상북도,8682.784413
2007-01-01,13,경상북도,8684.496874
2007-01-01,14,경상북도,8686.95721
2007-01-01,15,경상북도,8698.032793
2007-01-01,16,경상북도,8688.82316
2007-01-01,17,경상북도,8684.912962
2007-01-01,18,경상북도,8681.534416
2007-01-01,19,경상북도,8679.702366
2007-01-01,20,경상북도,8679.739992
2007-01-01,21,경상북도,8680.639624
2007-01-01,22,경상북도,8784.042994
2007-01-01,23,경상북도,9194.428312
2007-01-01,24,경상북도,9076.634148
2007-01-01,01,광주시,0
2007-01-01,02,광주시,0
2007-01-01,03,광주시,0
2007-01-01,04,광주시,0
2007-01-01,05,광주시,0
2007-01-01,06,광주시,0
2007-01-01,07,광주시,0
2007-01-01,08,광주시,0
2007-01-01,09,광주시,0.018195
2007-01-01,10,광주시,0.064564
2007-01-01,11,광주시,0.045617
2007-01-01,12,광주시,0.093519
2007-01-01,13,광주시,0.099391
2007-01-01,14,광주시,0.057303
2007-01-01,15,광주시,0.048104
2007-01-01,16,광주시,0.03017
2007-01-01,17,광주시,0.004599
2007-01-01,18,광주시,0
2007-01-01,19,광주시,0
2007-01-01,20,광주시,0
2007-01-01,21,광주시,0
2007-01-01,22,광주시,0
2007-01-01,23,광주시,0
2007-01-01,24,광주시,0
2007-01-01,01,대구시,30.591568
2007-01-01,02,대구시,30.574768
2007-01-01,03,대구시,31.554432
2007-01-01,04,대구시,31.456712
2007-01-01,05,대구시,31.492048
2007-01-01,06,대구시,31.59604
2007-01-01,07,대구시,30.666944
2007-01-01,08,대구시,27.955648
2007-01-01,09,대구시,30.36824
2007-01-01,10,대구시,30.213792
2007-01-01,11,대구시,30.553264
2007-01-01,12,대구시,31.065664
2007-01-01,13,대구시,31.399648
2007-01-01,14,대구시,31.156104
2007-01-01,15,대구시,31.242904
2007-01-01,16,대구시,31.542112
2007-01-01,17,대구시,31.486728
2007-01-01,18,대구시,31.451
2007-01-01,19,대구시,30.871624
2007-01-01,20,대구시,30.103136
2007-01-01,21,대구시,29.739976
2007-01-01,22,대구시,30.242128
2007-01-01,23,대구시,30.317448
2007-01-01,24,대구시,30.210376
2007-01-01,01,대전시,42.05432
2007-01-01,02,대전시,40.741456
2007-01-01,03,대전시,39.797744
2007-01-01,04,대전시,39.556944
2007-01-01,05,대전시,43.553776
2007-01-01,06,대전시,40.270608
2007-01-01,07,대전시,40.932976
2007-01-01,08,대전시,40.204192
